ACERO DE REFUERZO Fy= 420 Mpa (incluye transporte);KG;2500
AGREGADO GRUESO;M3;81358
AGREGADO FINO;M3;81358
AGREGADO PARA CONCRETO HIDRAULICO;M3;45000
AGUA;LT;20
ALAMBRE NEGRO PARA AMARRE PUESTO EN OBRA;KG;3200
AMORTIGUADORES;U;26250
ARENA DE AGUACATE;M3;16000
ARENA LAVADA;M3;30000
CAPTAFARO (INC. TUERCA GUASA ARANDELA Y PEGANTE);U;11070
CEMENTO;KG;450
CEMENTO ASFALTICO 60 - 70;KG;1200
CEMENTO ASFALTICO MODIFICADO CON GRANO DE CAUCHO;KG;1800
COMBUSTIBLE TORRE DE ILUMINACIÓN - ACPM;GL;8300
CONCRETO CLASE 14 MPA (incluye transporte);M3;310680.67
CONCRETO CLASE 21 MPA (incluye transporte);M3;355242
DEFENSAS METALICAS;ML;73527
DISOLVENTE (3%) TINER;GALON;17000
EMULSION ASFALTICA CRL-1;GL;4500
EMULSION ASFALTICA CRR-1;GL;6600
ESFERAS REFLECTIVAS;KG;4000
ESTOPEROL;UNIDAD;2314
FORMALETA;M2;15000
FORMALETA PARA JUNTAS;M2;10000
GEOTEXTIL NO TEJIDO  resistencia Grab mínimo 700 N (incluye trasnporte);M2;5530
GEOTEXTIL NO TEJIDO para repavimentación  resistencia a la tensión Grab mínimo de 450 N (incluye trasnporte);M2;4660
LLENANTE MINERAL;M3;20000
MATERIAL DE BASE PROCESADO EN PLANTA;M3;50000
MATERIAL SUBBASE TOLUVIEJO;M3;20000
MATERIAL RECEBO;M3;15000
MATERIAL SELECCIONADO PARA RELLENO;M3;7000
MORTERO;M2;383200
PIEDRA PARA CONCRETO CICLOPEO (Piedra rajon o canto rodado);M3;70000
PINTURA ACRILICA PURA PARA TRAFICO;GALON;65840
POSTES;U;120750
RESINA TERMOPLASTICA;KG;4270
RESINA TERMOPLASTICA (PEGANTE EPOXICO);KG;12000
SECCION FINAL ;U;62370
TABLERO EN LAMINA GALVANIZADA DE 75CM*75CM, CALIBRE 16 REFLECTIVO TIPO 1 INCLUYE POSTE EN ANGULO DE 2*2*1/14 DE 3,5M;U;193400
TACHA REFLECTIVA;KG;4685
TRITURADO TOLUVIEJO;M3;40000
ACPM;GALON;8600
